CY	EC	KP	64778.9	48236.6	41116.9	60292.2	55399.2	34119.8	67444.6	78968	17653.4
CY	EC	PNG	45698.6	59117.1	43770.7	41821.8	55432.6	4073.25	57169.1	57327.2	17475.4
CY	EC	TE	65692.3	48576	40448.3	36451.1	55422.1	34694	44470.8	80599	17597.4
CY	KP	PNG	41681.3	71639.4	43282.9	42400.1	60188.7	4040.73	70766.2	58654.9	33873.3
CY	KP	TE	43081.8	42507.6	74156.9	36523.4	60508.4	34686.2	4833.46	29300.2	34091.3
CY	PNG	TE	72034.5	41500.2	43278.9	36638.4	42072.1	34610	34872.7	70806.2	4055.25
EC	KP	PNG	40911.4	62640.7	49630.6	57519	67566.2	57238.8	70543.9	58812.2	78973.2
EC	KP	TE	41882.5	40300.3	80077.3	44525.6	67374.3	80608	4838.62	29162.5	78991.2
EC	PNG	TE	63533.4	40223.4	50124.1	44561	57276.3	80510.5	34741.2	70658.6	57237
KP	PNG	TE	43234	72702.4	42833.9	4878.42	70513.1	29249.2	34704.6	70883.6	58764.9
